corridor,layer,status,status_label,verification,assessment_date,rationale
"Semiconductors","Raw Materials",1,"Nascent","single_source","2026-05-31","Almost no domestic high-purity silicon, photoresist, specialty gases or slurries (>90% imported); gallium China-controlled. [orfonline.org semiconductor supply chain]"
"Semiconductors","Refining & Processing",1,"Nascent","single_source","2026-05-31","No electronic-grade silicon/chemical refining at scale; SPECS localisation pre-production mid-2026. [orfonline.org]"
"Semiconductors","Components & Inputs",2,"Emerging","single_source","2026-05-31","Emerging SiC (SiCSem), GaN (Crystal Matrix), discretes (CDIL), SCL 180nm — but most wafer/substrate inputs imported. [PIB PRID 2155459]"
"Semiconductors","Equipment & Capital Goods",0,"Import-Dependent","single_source","2026-05-31","Total import dependency on ASML, Applied Materials/Lam, Tokyo Electron; no domestic WFE maker. [asml.com Tata partnership]"
"Semiconductors","Manufacturing & Integration",3,"Partial","single_source","2026-05-31","Two OSATs operational (Micron, Kaynes), more ramping, first logic megafab ~50% built — but process IP licensed from PSMC/Renesas. [tataelectronics.com]"
"Semiconductors","Services & IP",2,"Emerging","single_source","2026-05-31","Emerging design layer (DLI 24 projects/16 tape-outs, C-DAC ChipIN) but leading-edge fab outsourced to TSMC, EDA/IP foreign. [digitimes.com]"
"Critical Minerals","Raw Materials",2,"Emerging","single_source","2026-05-31","Reserves exist (REE 6.9 Mt, graphite 8.6 Mt) but bankable extraction thin: Reasi auction failed twice, lithium ~100% imported. [business-standard.com Reasi]"
"Critical Minerals","Refining & Processing",1,"Nascent","single_source","2026-05-31","Weakest layer: ~100% China-dependent refined NdFeB, ~98% gallium, ~90% battery graphite; NALCO gallium pre-commercial. [anderseninstitute.org]"
"Critical Minerals","Components & Inputs",1,"Nascent","single_source","2026-05-31","Finished sintered NdFeB magnets ~100% imported (53,748 t FY25); domestic chain absent until REPM units commission. [mining-technology.com]"
"Critical Minerals","Equipment & Capital Goods",1,"Nascent","single_source","2026-05-31","Magnet sintering/REE separation/gallium-extraction equipment import-dependent; REPM explicitly subsidises capex. [pmindia.gov.in REPM]"
"Critical Minerals","Manufacturing & Integration",2,"Emerging","single_source","2026-05-31","IREL is sole integrated monazite-to-magnet operator; recyclers (Lohum, Attero) close the loop, but no integrated chain at scale yet. [irel.co.in]"
"Critical Minerals","Services & IP",3,"Partial","single_source","2026-05-31","Strongest layer: GSI/MECL exploration, NALCO-BARC gallium tech, Lohum patented hydromet (90%+ recovery). [mecl.co.in]"
"AI Infrastructure","Raw Materials",3,"Partial","single_source","2026-05-31","Captive renewables exist (Reliance, Adani) but transmission evacuation strands power; grid not built for AI racks. [nextias.com DC energy]"
"AI Infrastructure","Refining & Processing",0,"Import-Dependent","single_source","2026-05-31","Zero advanced-node capability; Dholera fabs 28nm+ vs 3-5nm AI silicon; all AI chips imported and TSMC-CoWoS-bound. [indmoney.com semiconductor gap]"
"AI Infrastructure","Components & Inputs",0,"Import-Dependent","single_source","2026-05-31","Total import dependency on Nvidia (~80% share) with AMD a marginal hedge; the sovereignty break point. [introl.com GPU landscape]"
"AI Infrastructure","Equipment & Capital Goods",2,"Emerging","single_source","2026-05-31","Indian firms build shells and own subsea cables, but networking silicon, switches, optics overwhelmingly imported. [wikipedia DC industry India]"
"AI Infrastructure","Manufacturing & Integration",4,"Substantial","single_source","2026-05-31","Strong, largely domestically operated: Reliance, AdaniConneX, CtrlS, Yotta, Nxtra run GW-scale builds + IndiaAI cluster. [PIB PRID 2132817]"
"AI Infrastructure","Services & IP",3,"Partial","single_source","2026-05-31","Genuine indigenous foundation-model capability (Sarvam 105B, Krutrim) but trained on imported GPUs; MLOps AWS/Azure/Google-dominated. [business-standard.com Sarvam]"
"Defence","Raw Materials",3,"Partial","single_source","2026-05-31","MIDHANI sole domestic source of titanium/maraging steel but still seeks JVs for overseas superalloy feedstock. [tipranks.com MIDHANI]"
"Defence","Refining & Processing",3,"Partial","single_source","2026-05-31","MIDHANI indigenised three master alloys, gained CEMILAC/NADCAP certs, raised titanium output ~40%; high-end melt maturing. [tipranks.com MIDHANI]"
"Defence","Components & Inputs",1,"Nascent","single_source","2026-05-31","Hard chokepoint: jet engines wholly import-dependent (GE F404/F414), GaN/SiC at lab scale, AIP from TKMS, S-400 from Russia. [business-standard.com HAL-GE]"
"Defence","Equipment & Capital Goods",2,"Emerging","single_source","2026-05-31","Machine tools, fab/clean-room and high-end test infra largely imported; DRDO SSPL/GAETEC exist but base foreign-reliant. [theweek.in DRDO GaN]"
"Defence","Manufacturing & Integration",4,"Substantial","single_source","2026-05-31","Platform assembly strongly indigenous: Tejas, ATAGS, Akash/BrahMos, Vikrant, K9; FY25 production Rs 1.54 lakh cr, exports Rs 23,622 cr. [PIB PRID 2154551]"
"Defence","Services & IP",3,"Partial","single_source","2026-05-31","Design IP held domestically (DRDO/ADA: Tejas, AMCA, Pinaka) but source-code/critical-tech ToT for imported platforms withheld. [theprint.in AMCA]"
"Enterprise Software","Public Cloud",0,"Import-Dependent","unverified","2026-05-31","EDI 81.7 (Captured). AWS/Azure/GCP dominate; CLOUD Act exposure. No domestic hyperscaler."
"Enterprise Software","ERP",0,"Import-Dependent","unverified","2026-05-31","EDI 78.5 (Captured). SAP/Oracle at the transactional core of PSUs and large industry; Ramco the lone domestic top-tier player."
"Enterprise Software","Productivity Platforms",0,"Import-Dependent","unverified","2026-05-31","EDI 72.5. M365/Workspace near-total; negligible domestic alternative."
"Enterprise Software","Desktop OS",0,"Import-Dependent","unverified","2026-05-31","EDI 70.8. Windows endpoint monopoly."
"Enterprise Software","Databases",1,"Nascent","unverified","2026-05-31","EDI 70.0. Oracle/SQL Server dominate, but PostgreSQL is a credible sovereign exit (nascent in enterprise)."
"Enterprise Software","AI Platforms",1,"Nascent","unverified","2026-05-31","EDI 69.2. Frontier models foreign-led; open-weight + Indian LLM efforts nascent."
"Enterprise Software","Cybersecurity",1,"Nascent","unverified","2026-05-31","EDI 63.2. Foreign-led; domestic security product base nascent."
"Enterprise Software","CRM",2,"Emerging","unverified","2026-05-31","EDI 56.0. Zoho and Freshworks make this the one application layer with real domestic products (emerging)."
"Enterprise Software","Server OS",4,"Substantial","unverified","2026-05-31","EDI 45.5. Linux/open-source — substantial sovereignty; India consumes freely, contributes less."
"Enterprise Software","Identity",5,"Captured / Sovereign","unverified","2026-05-31","EDI 42.6. Aadhaar — state-built, sovereign by construction."
"Enterprise Software","Payment Rails",5,"Captured / Sovereign","unverified","2026-05-31","EDI 37.4. UPI — open-standards sovereign rails; world reference DPI."
